	Hagai_IFNB_Mus_musculus_1	Hagai_LF4_Mus_musculus_1	Hagai_PIC4_Mus_musculus_1	Hagai_UNST_Mus_musculus_1	Hagai_IFNB_Mus_musculus_2	Hagai_LF4_Mus_musculus_2	Hagai_PIC4_Mus_musculus_2	Hagai_UNST_Mus_musculus_2	Hagai_IFNB_Mus_musculus_3	Hagai_LF4_Mus_musculus_3	Hagai_PIC4_Mus_musculus_3	Hagai_UNST_Mus_musculus_3	Hagai_IFNB_Homo_sapiens_1	Hagai_LF4_Homo_sapiens_1	Hagai_PIC4_Homo_sapiens_1	Hagai_UNST_Homo_sapiens_1	Hagai_IFNB_Homo_sapiens_2	Hagai_LF4_Homo_sapiens_2	Hagai_PIC4_Homo_sapiens_2	Hagai_UNST_Homo_sapiens_2	Hagai_IFNB_Homo_sapiens_3	Hagai_LF4_Homo_sapiens_3	Hagai_PIC4_Homo_sapiens_3	Hagai_UNST_Homo_sapiens_3	Hagai_IFNB_Homo_sapiens_4	Hagai_LF4_Homo_sapiens_4	Hagai_PIC4_Homo_sapiens_4	Hagai_UNST_Homo_sapiens_4	Hagai_IFNB_Homo_sapiens_5	Hagai_LF4_Homo_sapiens_5	Hagai_PIC4_Homo_sapiens_5	Hagai_UNST_Homo_sapiens_5	Hagai_IFNB_Homo_sapiens_6	Hagai_LF4_Homo_sapiens_6	Hagai_PIC4_Homo_sapiens_6	Hagai_UNST_Homo_sapiens_6
ENSG00000165182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
ENSG00000286131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000253251	29.294	36.302	25.994	42.18	57.977	50.881	54.466	57.002	32.906	29.955	61.742	49.807	38.0	19.0	27.0	31.0	30.0	23.0	38.0	18.0	17.0	19.0	23.35	24.0	23.0	29.0	37.0	35.0	25.0	26.0	32.0	33.0	40.0	57.0	53.0	49.0
ENSG00000163263	2.0	8.0	28.447	3.0	12.0	8.0	22.131	1.0	9.0	11.015	34.0	8.002	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
ENSG00000178690	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	3.005	2.0	1.0	0.0	5.0	0.0	2.0	0.0	4.115	5.0	2.0	3.0	5.0	2.0	1.0	2.0	6.21	1.0	3.0	3.0	3.273	1.0
ENSG00000268655	0.0	0.0	1.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	1.0	2.0	3.0	3.0	0.0	0.0	0.0	1.0	0.0
ENSG00000203737	0.0	3.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	7.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000148841	2345.0	1449.0	2221.0	885.0	3309.0	2170.0	3351.0	1553.0	4275.0	3098.0	4223.0	2371.0	1457.0	1018.0	1792.0	1461.0	2343.0	1547.0	2834.0	2569.0	1933.0	1954.0	2563.0	1886.0	1700.0	1791.0	2051.0	1880.0	1946.0	2108.0	2280.0	2212.0	2564.0	2307.0	4409.0	1978.0
ENSG00000286140	17.649	213.595	288.852	64.764	161.014	243.349	298.208	36.6	64.406	38.305	147.155	19.053	653.966	477.566	409.537	812.068	670.905	602.831	753.651	690.836	619.953	677.599	528.144	712.199	616.573	688.805	571.802	687.758	618.561	607.431	559.646	856.084	457.31	519.939	442.125	545.014
ENSG00000113108	17.0	46.0	92.0	43.0	26.999	45.0	121.0	49.0	24.0	59.0	146.0	77.001	33.0	22.001	88.0	31.999	46.0	21.0	74.999	42.0	41.0	24.999	83.0	33.0	31.0	47.0	130.0	53.0	42.0	38.0	91.999	48.0	49.0	46.0	140.999	40.0
