	run_accession	treatment	species	group
1	Hagai_LF4_Mus_musculus_1	LF4	Mus_musculus	LF4_Mus_musculus
2	Hagai_PIC4_Mus_musculus_1	PIC4	Mus_musculus	PIC4_Mus_musculus
5	Hagai_LF4_Mus_musculus_2	LF4	Mus_musculus	LF4_Mus_musculus
6	Hagai_PIC4_Mus_musculus_2	PIC4	Mus_musculus	PIC4_Mus_musculus
9	Hagai_LF4_Mus_musculus_3	LF4	Mus_musculus	LF4_Mus_musculus
10	Hagai_PIC4_Mus_musculus_3	PIC4	Mus_musculus	PIC4_Mus_musculus
13	Hagai_LF4_Homo_sapiens_1	LF4	Homo_sapiens	LF4_Homo_sapiens
14	Hagai_PIC4_Homo_sapiens_1	PIC4	Homo_sapiens	PIC4_Homo_sapiens
17	Hagai_LF4_Homo_sapiens_2	LF4	Homo_sapiens	LF4_Homo_sapiens
18	Hagai_PIC4_Homo_sapiens_2	PIC4	Homo_sapiens	PIC4_Homo_sapiens
21	Hagai_LF4_Homo_sapiens_3	LF4	Homo_sapiens	LF4_Homo_sapiens
22	Hagai_PIC4_Homo_sapiens_3	PIC4	Homo_sapiens	PIC4_Homo_sapiens
25	Hagai_LF4_Homo_sapiens_4	LF4	Homo_sapiens	LF4_Homo_sapiens
26	Hagai_PIC4_Homo_sapiens_4	PIC4	Homo_sapiens	PIC4_Homo_sapiens
29	Hagai_LF4_Homo_sapiens_5	LF4	Homo_sapiens	LF4_Homo_sapiens
30	Hagai_PIC4_Homo_sapiens_5	PIC4	Homo_sapiens	PIC4_Homo_sapiens
33	Hagai_LF4_Homo_sapiens_6	LF4	Homo_sapiens	LF4_Homo_sapiens
34	Hagai_PIC4_Homo_sapiens_6	PIC4	Homo_sapiens	PIC4_Homo_sapiens
