run_accession	study_name	run_accession	treatment	species	individual
Hagai_IFNB_Mus_musculus_1	Hagai	Hagai_IFNB_Mus_musculus_1	IFNB	Mus_musculus	1
Hagai_LF4_Mus_musculus_1	Hagai	Hagai_LF4_Mus_musculus_1	LF4	Mus_musculus	1
Hagai_PIC4_Mus_musculus_1	Hagai	Hagai_PIC4_Mus_musculus_1	PIC4	Mus_musculus	1
Hagai_UNST_Mus_musculus_1	Hagai	Hagai_UNST_Mus_musculus_1	UNST	Mus_musculus	1
Hagai_IFNB_Mus_musculus_2	Hagai	Hagai_IFNB_Mus_musculus_2	IFNB	Mus_musculus	2
Hagai_LF4_Mus_musculus_2	Hagai	Hagai_LF4_Mus_musculus_2	LF4	Mus_musculus	2
Hagai_PIC4_Mus_musculus_2	Hagai	Hagai_PIC4_Mus_musculus_2	PIC4	Mus_musculus	2
Hagai_UNST_Mus_musculus_2	Hagai	Hagai_UNST_Mus_musculus_2	UNST	Mus_musculus	2
Hagai_IFNB_Mus_musculus_3	Hagai	Hagai_IFNB_Mus_musculus_3	IFNB	Mus_musculus	3
Hagai_LF4_Mus_musculus_3	Hagai	Hagai_LF4_Mus_musculus_3	LF4	Mus_musculus	3
Hagai_PIC4_Mus_musculus_3	Hagai	Hagai_PIC4_Mus_musculus_3	PIC4	Mus_musculus	3
Hagai_UNST_Mus_musculus_3	Hagai	Hagai_UNST_Mus_musculus_3	UNST	Mus_musculus	3
Hagai_IFNB_Homo_sapiens_1	Hagai	Hagai_IFNB_Homo_sapiens_1	IFNB	Homo_sapiens	1
Hagai_LF4_Homo_sapiens_1	Hagai	Hagai_LF4_Homo_sapiens_1	LF4	Homo_sapiens	1
Hagai_PIC4_Homo_sapiens_1	Hagai	Hagai_PIC4_Homo_sapiens_1	PIC4	Homo_sapiens	1
Hagai_UNST_Homo_sapiens_1	Hagai	Hagai_UNST_Homo_sapiens_1	UNST	Homo_sapiens	1
Hagai_IFNB_Homo_sapiens_2	Hagai	Hagai_IFNB_Homo_sapiens_2	IFNB	Homo_sapiens	2
Hagai_LF4_Homo_sapiens_2	Hagai	Hagai_LF4_Homo_sapiens_2	LF4	Homo_sapiens	2
Hagai_PIC4_Homo_sapiens_2	Hagai	Hagai_PIC4_Homo_sapiens_2	PIC4	Homo_sapiens	2
Hagai_UNST_Homo_sapiens_2	Hagai	Hagai_UNST_Homo_sapiens_2	UNST	Homo_sapiens	2
Hagai_IFNB_Homo_sapiens_3	Hagai	Hagai_IFNB_Homo_sapiens_3	IFNB	Homo_sapiens	3
Hagai_LF4_Homo_sapiens_3	Hagai	Hagai_LF4_Homo_sapiens_3	LF4	Homo_sapiens	3
Hagai_PIC4_Homo_sapiens_3	Hagai	Hagai_PIC4_Homo_sapiens_3	PIC4	Homo_sapiens	3
Hagai_UNST_Homo_sapiens_3	Hagai	Hagai_UNST_Homo_sapiens_3	UNST	Homo_sapiens	3
Hagai_IFNB_Homo_sapiens_4	Hagai	Hagai_IFNB_Homo_sapiens_4	IFNB	Homo_sapiens	4
Hagai_LF4_Homo_sapiens_4	Hagai	Hagai_LF4_Homo_sapiens_4	LF4	Homo_sapiens	4
Hagai_PIC4_Homo_sapiens_4	Hagai	Hagai_PIC4_Homo_sapiens_4	PIC4	Homo_sapiens	4
Hagai_UNST_Homo_sapiens_4	Hagai	Hagai_UNST_Homo_sapiens_4	UNST	Homo_sapiens	4
Hagai_IFNB_Homo_sapiens_5	Hagai	Hagai_IFNB_Homo_sapiens_5	IFNB	Homo_sapiens	5
Hagai_LF4_Homo_sapiens_5	Hagai	Hagai_LF4_Homo_sapiens_5	LF4	Homo_sapiens	5
Hagai_PIC4_Homo_sapiens_5	Hagai	Hagai_PIC4_Homo_sapiens_5	PIC4	Homo_sapiens	5
Hagai_UNST_Homo_sapiens_5	Hagai	Hagai_UNST_Homo_sapiens_5	UNST	Homo_sapiens	5
Hagai_IFNB_Homo_sapiens_6	Hagai	Hagai_IFNB_Homo_sapiens_6	IFNB	Homo_sapiens	6
Hagai_LF4_Homo_sapiens_6	Hagai	Hagai_LF4_Homo_sapiens_6	LF4	Homo_sapiens	6
Hagai_PIC4_Homo_sapiens_6	Hagai	Hagai_PIC4_Homo_sapiens_6	PIC4	Homo_sapiens	6
Hagai_UNST_Homo_sapiens_6	Hagai	Hagai_UNST_Homo_sapiens_6	UNST	Homo_sapiens	6
