,0
0,ENSG00000198888
1,ENSG00000198763
2,ENSG00000198804
3,ENSG00000198712
4,ENSG00000228253
5,ENSG00000198899
6,ENSG00000198938
7,ENSG00000198840
8,ENSG00000212907
9,ENSG00000198886
10,ENSG00000198786
11,ENSG00000198695
12,ENSG00000198727
13,ENSG00000122257
14,ENSG00000163947
15,ENSG00000197563
16,ENSG00000123612
17,ENSG00000120370
18,ENSG00000117480
19,ENSG00000173064
20,ENSG00000136960
21,ENSG00000153721
22,ENSG00000012504
23,ENSG00000160781
24,ENSG00000204344
25,ENSG00000143995
26,ENSG00000163932
27,ENSG00000079263
28,ENSG00000114098
29,ENSG00000114738
30,ENSG00000114737
31,ENSG00000184949
32,ENSG00000142961
33,ENSG00000146006
34,ENSG00000167522
35,ENSG00000154642
36,ENSG00000165192
37,ENSG00000172936
38,ENSG00000175354
39,ENSG00000065809
40,ENSG00000138650
41,ENSG00000062038
42,ENSG00000151657
43,ENSG00000129667
44,ENSG00000105559
45,ENSG00000178685
46,ENSG00000135185
47,ENSG00000090905
48,ENSG00000166833
49,ENSG00000013293
50,ENSG00000087074
51,ENSG00000023445
52,ENSG00000166592
53,ENSG00000116748
54,ENSG00000144908
55,ENSG00000105835
56,ENSG00000006210
57,ENSG00000154914
58,ENSG00000196296
59,ENSG00000108342
60,ENSG00000213689
61,ENSG00000143257
62,ENSG00000099326
63,ENSG00000068079
64,ENSG00000135100
65,ENSG00000110330
66,ENSG00000121351
67,ENSG00000122483
68,ENSG00000263528
69,ENSG00000108691
70,ENSG00000168887
71,ENSG00000126746
72,ENSG00000108688
73,ENSG00000138398
74,ENSG00000145016
75,ENSG00000163864
76,ENSG00000135114
77,ENSG00000121594
78,ENSG00000186001
79,ENSG00000117523
80,ENSG00000164663
81,ENSG00000111331
82,ENSG00000111335
83,ENSG00000157388
84,ENSG00000137218
85,ENSG00000166866
86,ENSG00000077157
87,ENSG00000180616
88,ENSG00000121577
89,ENSG00000197653
90,ENSG00000115956
91,ENSG00000185189
92,ENSG00000204923
93,ENSG00000213658
94,ENSG00000164307
95,ENSG00000272886
96,ENSG00000077264
97,ENSG00000090339
98,ENSG00000120833
99,ENSG00000105371
100,ENSG00000116977
101,ENSG00000152457
102,ENSG00000114554
103,ENSG00000181291
104,ENSG00000102921
105,ENSG00000162231
106,ENSG00000179388
107,ENSG00000185909
108,ENSG00000158805
109,ENSG00000013441
110,ENSG00000154099
111,ENSG00000138411
112,ENSG00000142224
113,ENSG00000103168
114,ENSG00000133636
115,ENSG00000118985
116,ENSG00000167302
117,ENSG00000068745
118,ENSG00000102908
119,ENSG00000125351
120,ENSG00000159388
121,ENSG00000105376
122,ENSG00000188315
123,ENSG00000266074
124,ENSG00000105576
125,ENSG00000102349
126,ENSG00000058668
127,ENSG00000198771
128,ENSG00000231925
129,ENSG00000198707
130,ENSG00000110931
131,ENSG00000083307
132,ENSG00000128016
133,ENSG00000165805
134,ENSG00000169026
135,ENSG00000082258
136,ENSG00000092871
137,ENSG00000162931
138,ENSG00000076344
139,ENSG00000144395
140,ENSG00000198783
141,ENSG00000163412
142,ENSG00000152518
143,ENSG00000077522
144,ENSG00000143458
145,ENSG00000213901
146,ENSG00000056558
147,ENSG00000165359
148,ENSG00000145020
149,ENSG00000132915
150,ENSG00000057704
151,ENSG00000126856
152,ENSG00000164615
153,ENSG00000101882
154,ENSG00000181218
155,ENSG00000176155
156,ENSG00000140968
157,ENSG00000014257
158,ENSG00000139289
159,ENSG00000103241
160,ENSG00000182325
161,ENSG00000261587
162,ENSG00000141664
163,ENSG00000139714
164,ENSG00000144674
165,ENSG00000178607
166,ENSG00000156042
167,ENSG00000103005
168,ENSG00000135111
169,ENSG00000166321
170,ENSG00000036828
171,ENSG00000135253
172,ENSG00000168404
173,ENSG00000173846
174,ENSG00000111266
175,ENSG00000186187
176,ENSG00000222009
177,ENSG00000003402
178,ENSG00000123066
179,ENSG00000119397
180,ENSG00000102878
181,ENSG00000144802
182,ENSG00000117425
183,ENSG00000178927
184,ENSG00000128563
185,ENSG00000155090
186,ENSG00000147162
187,ENSG00000196123
188,ENSG00000179044
189,ENSG00000143850
190,ENSG00000213918
191,ENSG00000175895
192,ENSG00000148344
193,ENSG00000135473
194,ENSG00000123636
195,ENSG00000156304
196,ENSG00000185610
197,ENSG00000183337
198,ENSG00000167524
199,ENSG00000135148
200,ENSG00000141506
201,ENSG00000127325
202,ENSG00000139287
203,ENSG00000009950
204,ENSG00000100941
205,ENSG00000130787
206,ENSG00000130813
207,ENSG00000269855
208,ENSG00000122484
209,ENSG00000163638
210,ENSG00000130783
211,ENSG00000080845
212,ENSG00000131480
213,ENSG00000137824
214,ENSG00000020577
215,ENSG00000169905
216,ENSG00000090432
217,ENSG00000136052
218,ENSG00000143337
219,ENSG00000136051
220,ENSG00000064932
221,ENSG00000142408
222,ENSG00000172878
223,ENSG00000187595
224,ENSG00000102794
225,ENSG00000134470
226,ENSG00000040608
227,ENSG00000151006
228,ENSG00000135502
229,ENSG00000144648
230,ENSG00000187997
231,ENSG00000115263
232,ENSG00000177535
233,ENSG00000132823
234,ENSG00000140022
235,ENSG00000078098
236,ENSG00000131979
237,ENSG00000284976
238,ENSG00000102287
239,ENSG00000105499
240,ENSG00000188820
241,ENSG00000213928
242,ENSG00000118257
243,ENSG00000205177
244,ENSG00000135679
245,ENSG00000101017
246,ENSG00000167470
247,ENSG00000011132
248,ENSG00000113369
249,ENSG00000117090
250,ENSG00000137462
251,ENSG00000173626
252,ENSG00000235162
253,ENSG00000100100
254,ENSG00000129221
255,ENSG00000130827
256,ENSG00000137331
257,ENSG00000136997
258,ENSG00000115267
259,ENSG00000168394
260,ENSG00000115963
261,ENSG00000146374
262,ENSG00000164105
263,ENSG00000168781
264,ENSG00000204264
265,ENSG00000144596
266,ENSG00000164106
267,ENSG00000240065
268,ENSG00000221978
269,ENSG00000166128
270,ENSG00000111846
271,ENSG00000112297
272,ENSG00000182310
273,ENSG00000271503
274,ENSG00000100906
275,ENSG00000167910
276,ENSG00000180871
277,ENSG00000108848
278,ENSG00000221869
279,ENSG00000109046
280,ENSG00000060491
281,ENSG00000134954
282,ENSG00000147419
283,ENSG00000110719
284,ENSG00000184557
285,ENSG00000180828
286,ENSG00000014164
287,ENSG00000198435
288,ENSG00000131051
289,ENSG00000080709
290,ENSG00000198089
291,ENSG00000172817
292,ENSG00000143473
293,ENSG00000167703
294,ENSG00000143951
295,ENSG00000112782
296,ENSG00000205364
297,ENSG00000132680
298,ENSG00000159307
299,ENSG00000110925
300,ENSG00000105509
301,ENSG00000164309
302,ENSG00000250067
303,ENSG00000213203
304,ENSG00000104518
305,ENSG00000178093
306,ENSG00000137831
307,ENSG00000087157
308,ENSG00000154781
309,ENSG00000114933
310,ENSG00000187775
311,ENSG00000155868
312,ENSG00000154237
313,ENSG00000171206
314,ENSG00000119707
