Gene	Papio anubis FC	Papio anubis P-value	Papio anubis Q-value	Gorilla gorilla FC	Gorilla gorilla P-value	Gorilla gorilla Q-value	Mus musculus FC	Mus musculus P-value	Mus musculus Q-value	Saimiri boliviensis boliviensis FC	Saimiri boliviensis boliviensis P-value	Saimiri boliviensis boliviensis Q-value	Pongo abelii FC	Pongo abelii P-value	Pongo abelii Q-value	Pan paniscus FC	Pan paniscus P-value	Pan paniscus Q-value	Pan troglodytes FC	Pan troglodytes P-value	Pan troglodytes Q-value	Homo sapiens FC	Homo sapiens P-value	Homo sapiens Q-value	Macaca nemestrina FC	Macaca nemestrina P-value	Macaca nemestrina Q-value	Macaca mulatta FC	Macaca mulatta P-value	Macaca mulatta Q-value
ENSG00000073150	-1.551054858	2.09E-07	2.27E-06	-0.873881036	0.436852799	0.805863972	2.778789156	0.249114843	0.550620738	-0.150725972	0.769546082	1	-2.666649184	0.162634112	0.431841326	-1.023024723	0.324862144	0.625455542	-0.226197714	0.401103558	0.733171793	-0.32973408	0.619403316	0.903560205	-0.269221479	0.481240565	0.846138663	-0.898121112	0.628715856	0.985834252
ENSG00000119965	0.039793594	0.772746453	1	0.036622746	0.862815427	1	0.105277401	0.335124338	0.670046886	-0.697148428	0.000107968	0.000692339	0.242327948	0.050948232	0.190997325	-0.20808798	0.224543444	0.482294824	-0.145547668	0.113385714	0.289391006	0.266913709	0.329164436	0.60700091	-0.734775034	6.06E-07	1.10E-05	-0.057564231	0.599940643	0.969870786
ENSG00000127578	-1.106164807	0.478595698	0.760423845	0	1	1	-0.024920739	1	1	-0.802618471	0.129183769	0.291517551	0	1	1	0.01029929	1	1	-0.768632318	0.459868127	0.807361557	-0.160329598	0.892674893	1	0.079112	0.864929298	1	0.434201285	0.562063554	0.938976294
ENSG00000116096	1.011101489	1.61E-12	3.65E-11	0.59246801	0.002065138	0.012856397	0.344275667	0.002873786	0.015417483	0.341893964	0.215873914	0.430164129	0.34333929	0.265437271	0.590471956	0.70792845	3.01E-05	0.000254188	0.435528383	0.013958794	0.051437076	0.465587641	0.231888301	0.482411086	0.763983159	0.004642391	0.024989384	0.35039271	0.073137112	0.28118228
ENSG00000134375	-0.089830463	0.495521196	0.780409449	-0.647697106	0.002323369	0.014257427	-0.005727091	0.946492582	1	0.386623963	0.003181407	0.013682746	-0.148749145	0.305573435	0.651059806	-0.126852803	0.423664541	0.751946042	-0.292844047	6.16E-05	0.000436374	-0.165716692	0.27902264	0.546886594	-0.256198349	0.037693464	0.135184859	-0.026226966	0.772583918	1
ENSG00000149262	-0.07918121	0.554834085	0.8365796	0.222818359	0.35565726	0.699548171	0.165905787	0.115599168	0.319614968	0.049730553	0.576471006	0.854022731	-0.306318748	0.061624161	0.218448651	0.022529513	0.887139143	1	0.072251223	0.385707506	0.712820108	-0.138165468	0.424964746	0.718497847	-0.155917791	0.171342473	0.429007204	-0.087293174	0.513964224	0.899645914
ENSG00000121931	0.230836263	0.20922654	0.425990804	0.976450332	2.17E-05	0.000238786	-0.319444039	0.021019983	0.082385016	0.185751746	0.311627034	0.557281838	1.021660031	1.66E-05	0.000233756	0.347809196	0.176478575	0.403845966	0.574493043	0.000100984	0.000680443	1.149689048	3.93E-09	7.48E-08	-0.236750077	0.079896576	0.243103714	0.095718575	0.451470039	0.847763901
ENSG00000183077	0.782135487	0.346239836	0.600884058	-0.820069399	0.022340278	0.092871231	-0.731280327	0.047474747	0.160454771	-0.575131413	0.190406443	0.390969789	-0.146317546	0.648880026	1	-0.655825102	0.031723583	0.107882754	-0.333426138	0.002378373	0.011197294	-1.147141466	5.40E-06	6.04E-05	-0.919889216	0.113368635	0.318733757	-1.13648358	0.251348365	0.622227097
ENSG00000123560	1.110163106	0.107434244	0.257336995	3.226062626	0.032234659	0.124466104	-0.257332597	0.549706176	0.922929968	-2.165946678	0.079401355	0.199097014	-0.706318762	0.474865868	0.856102126	0.01863814	0.977179975	1	-0.471150108	0.240648488	0.511433928	2.902479622	6.02E-05	0.000527736	0.418518545	0.533031362	0.900645152	-0.417460377	0.728087837	1
ENSG00000126233	0	1	1	0	1	1	5.13E-15	1	1	0	1	1	0	1	1	-1.893539111	0.295359222	0.583066219	0.059567958	0.953606955	1	0	1	1	0	1	1	0	1	1
ENSG00000163217	0	1	1	2.256508397	0.155114443	0.408542196	2.956296783	0.14793345	0.383636871	0	1	1	2.398850019	0.158688823	0.424906777	1.879601963	0.295359222	0.583066219	0.951603758	1	1	0	1	1	0.522233064	0.691949749	1	0	1	1
ENSG00000204628	-0.620900859	3.79E-05	0.000260419	-0.769265832	0.001748215	0.011118607	-0.207275024	0.010006954	0.044192136	0.008083026	0.953588614	1	-0.569619031	0.424265088	0.797599589	-1.197752067	2.02E-05	0.000177047	-0.536945374	3.02E-06	2.90E-05	0.068700399	0.826358251	1	-0.105996558	0.514068103	0.882228074	-0.340590578	7.90E-05	0.001201525
ENSG00000134255	-0.048582934	0.676146703	0.957006953	-0.172633291	0.258821378	0.576697623	0.454884662	2.14E-07	3.06E-06	-0.165604751	0.182363241	0.37777179	0.19890885	0.143241	0.398510572	-0.039232464	0.76851414	1	-0.140209634	0.204596786	0.45216463	0.220173563	0.224890774	0.471863474	-0.328730962	0.045641097	0.157092594	0.206522301	0.157724932	0.470080442
ENSG00000109111	0.349361716	0.000224404	0.001273249	0.143796998	0.383472195	0.737821658	0.254308679	0.000256951	0.001850932	0.164891502	0.04280268	0.120047946	-0.004203279	0.97315308	1	0.164017682	0.203292652	0.447997953	0.115952595	0.116597529	0.296034785	0.07660317	0.678254187	0.959638347	0.344980699	0.005585778	0.029201121	0.246196134	0.001631917	0.015179044
ENSG00000145808	-3.661623427	0.045153261	0.127573896	0	1	1	5.13E-15	1	1	0.111801202	1	1	4.102123946	0.080828194	0.265820465	0	1	1	-0.888637754	1	1	-3.211194328	0.073483391	0.212563467	1.335203582	0.486540576	0.852682283	-0.562730825	0.755046351	1
ENSG00000162777	1.174995492	4.30E-06	3.62E-05	2.0660244	1.43E-08	2.97E-07	0.872017424	1.74E-07	2.51E-06	5.265276828	1.22E-12	2.67E-11	1.216030549	0.029256878	0.125774349	1.813253118	6.89E-11	1.36E-09	1.56051822	3.87E-24	2.54E-22	2.389240551	5.08E-19	2.56E-17	1.489234451	0.003803969	0.021175561	0.296917506	0.354118043	0.744032665
ENSG00000066583	-0.049414322	0.791191625	1	0.024178458	0.921427149	1	0.260528524	0.000989296	0.006071848	-0.272336253	0.290550263	0.537431591	-0.225679224	0.423288187	0.796203517	0.815725941	9.54E-10	1.64E-08	0.529175841	3.51E-06	3.34E-05	0.296437574	0.145259075	0.349863688	-0.633447195	1.63E-05	0.00020096	-0.133032122	0.205810272	0.552894047
ENSG00000133055	0.848219495	1	1	1.479322513	0.252688223	0.567030894	0.745791648	0.411751483	0.768583943	1.936335173	0.223049605	0.44117175	3.670309216	0.055144994	0.202340547	-2.546557065	0.001415991	0.007836392	-3.298776777	2.68E-11	5.91E-10	3.863033834	0.006444334	0.030675592	1.790117964	0.144809815	0.379609495	1.568677299	0.511086366	0.897516525
ENSG00000163485	4.467300468	9.57E-07	9.24E-06	-0.026636092	0.983449679	1	0.039207448	1	1	2.804700055	9.30E-10	1.42E-08	0.625066891	0.381426779	0.742249668	-0.280087828	0.736657974	1	-0.498857222	0.283088673	0.566543323	-0.460963781	0.441317908	0.736683208	-0.488311126	0.559041264	0.912877587	-0.694974753	0.17383247	0.499522317
ENSG00000122180	0	1	1	0	1	1	2.38528782	0.1261996	0.342402504	0	1	1	0	1	1	1.603952684	0.530239481	0.863409701	0	1	1	0	1	1	0	1	1	1.228821101	0.062298609	0.251088219
ENSG00000113396	-4.350177878	0.002962862	0.01257411	0.374144832	1	1	-1.764969555	0.00034699	0.002421813	-1.311242252	0.090919837	0.222088545	0	1	1	-0.095034386	0.605789483	0.946075421	0.049092931	0.758998457	1	0.378997805	0.922733969	1	-0.619832498	0.292055772	0.615624845	-2.192360353	0.275213825	0.64891383
ENSG00000047188	-0.161978818	0.183617207	0.386070182	-0.609924575	0.002074643	0.012908888	0.191475654	0.079852277	0.240639798	-0.077829314	0.740768271	1	-0.090501748	0.569538031	0.943861284	-0.614282992	5.63E-07	6.47E-06	-0.529856373	7.18E-14	2.13E-12	-0.603932979	0.00140039	0.008391269	0.091487449	0.536606886	0.90137579	0.102198723	0.306795459	0.68553038
