,logFC_LF4,minuslog_Q_val_col_LF4,group_LF4,group_PIC4,logFC_PIC4,minuslog_Q_val_col_PIC4
ENSG00000259417,15.4419130158871,295.85550948020517,---,---,13.8482765762573,282.85358588943114
ENSG00000034510,-11.9320346971311,295.85550948020517,---,---,-11.4167275859107,256.80406213164883
ENSG00000162692,12.3500223402419,295.85550948020517,---,---,8.95605530601133,37.662804515859236
ENSG00000073737,13.4961450846725,295.85550948020517,---,---,12.2033582685749,260.38521982894247
ENSG00000166426,14.2636941219216,295.85550948020517,---,---,14.281898300435,301.82972366584147
ENSG00000169282,14.4702220430464,295.85550948020517,---,---,11.874876353966,270.7614872051473
ENSG00000236444,13.3940986751732,295.85550948020517,---,---,11.4442643952577,302.15423475735497
ENSG00000165194,10.698363776206,295.85550948020517,---,---,10.2664464315971,302.15423475735497
ENSG00000285283,13.3006641251241,295.85550948020517,---,---,13.6117188370445,302.15423475735497
ENSG00000163682,-17.277364404728,295.53099838869167,---,---,-17.2883472564741,201.43012226171174
ENSG00000231500,-12.1206190663378,285.76463695673186,---,---,-12.1270349661714,189.90470699800994
ENSG00000152795,-15.0224023482082,260.46544098343895,---,---,-15.2701888533652,186.08934477341688
ENSG00000132341,-9.12199917877415,251.59034465241177,---,---,-8.63638998297887,147.83447045616214
ENSG00000094963,12.8414566732055,239.63107728460798,---,---,13.6219685310137,214.26629025051028
ENSG00000174021,-9.92271526485062,237.43930910971136,---,---,-10.6836725438251,178.8753900204155
ENSG00000115361,8.76355933868976,236.81485981213677,---,---,8.2378980545609,204.6112063841103
ENSG00000169213,-7.75730779099606,220.14645378443134,---,---,-7.97526970421763,170.858645071007
ENSG00000050767,10.4990792700948,219.19492480118774,---,---,11.2280569677719,167.21626912354748
ENSG00000183578,-11.0802611982383,209.78604270021034,---,---,-7.69622692329193,38.13805120346424
ENSG00000121064,3.86433605942477,208.70106203535764,---,---,3.95924018165265,58.95978979745504
ENSG00000162873,14.5579061496493,206.00498439314714,---,---,14.3272417723251,188.08778984551407
ENSG00000019505,14.6772927096311,205.89266510278458,---,---,11.2270614072934,167.75597774268857
ENSG00000129757,8.71066578204197,203.86028267310763,---,---,8.1119720134027,118.45804783360136
ENSG00000267318,9.73901629145207,200.22991723184947,---,---,9.42251671657812,143.5258860430676
ENSG00000183513,4.24735900221646,197.21627616617295,---,---,3.89366960160317,123.66427858290183
ENSG00000204403,12.9718126939302,194.6648255847874,---,---,12.1932754252426,173.5999989539055
ENSG00000203710,12.5475569595427,192.39979864016846,---,---,10.5638265120025,173.47183661573322
ENSG00000182952,-13.7194767557166,192.00693440327578,---,---,-13.6576913065076,150.27482170817132
ENSG00000171533,5.41014605273095,190.93787626998093,---,---,5.23937637085841,116.00623039418976
ENSG00000155011,7.94975457117198,189.7483015722197,---,---,8.17358613294317,160.0260592152877
ENSG00000165502,-9.39642059526954,186.74079349953854,---,---,-9.66533897646934,176.3062223954547
ENSG00000136436,-9.34012522791771,184.84687617481043,---,---,-9.62388394336786,126.80938702163071
ENSG00000130021,-13.2722099632457,183.08212231957728,---,---,-13.0949906611389,119.06886851109262
ENSG00000126878,9.87469410693619,183.00571641025334,---,---,10.4999414038819,163.37807028182394
ENSG00000137558,13.1955499454003,182.83839307569352,---,---,11.5663309508404,114.55091620755655
ENSG00000138675,-8.81888544832272,182.4709445785988,---,---,-9.45955527692956,192.55293874052174
ENSG00000173320,9.56617645441517,180.66484053249502,---,---,8.88522444390522,114.96120007083009
ENSG00000117335,-9.51568926842992,178.55179652305026,---,---,-7.48915742859786,63.765346752084064
ENSG00000071967,-10.82093051058,176.95711729894188,---,---,-12.170567907567,127.39484542782506
ENSG00000065923,-8.28527115198295,172.25725272932524,---,---,-7.74213350529871,114.41619248290064
ENSG00000168546,10.0408174474266,168.49329923953138,---,---,9.63630604771113,178.78339837277142
ENSG00000223496,-13.1958950565708,168.07309356984825,---,---,-13.1762733006727,124.6113291398551
ENSG00000176903,-11.1678863739583,167.60787907849317,---,---,-9.53018827200397,124.76159315995577
ENSG00000078596,12.5191962338442,166.31957661663904,---,---,10.2649754570623,105.28602126251603
ENSG00000183049,5.54323828914579,162.6702935656578,---,---,4.4618476226222,46.50481285922226
ENSG00000128849,8.85960528588125,162.50291790627767,---,---,7.45635711286665,112.52768532874046
ENSG00000163083,7.99360020608988,160.48521001992668,---,---,9.00149402882695,139.2082971427517
ENSG00000130294,10.6603156028107,158.8820836711476,---,---,9.83659534251669,112.70418386244111
ENSG00000129455,13.1470217868218,158.73575442953648,---,---,13.1399503206012,152.4874668927752
ENSG00000175591,8.77706038958207,158.06704663950916,---,---,9.45878603318724,94.44517708579497
ENSG00000156384,4.75930860181835,157.80384841670747,---,---,4.09843686597818,119.3844234860996
ENSG00000157368,8.93797487484632,155.7799863529015,---,---,8.00066466245509,126.2965621421626
ENSG00000152661,-10.6679592221108,155.47109403276346,---,---,-9.63015267406898,99.57890770817515
ENSG00000124374,5.8806325913576,154.73899301085865,---,---,5.74905749796642,110.37575890851954
ENSG00000156453,8.76715539057962,152.90201322311404,---,---,8.34409654080803,96.00462968415896
ENSG00000178031,-6.66627816647836,148.69559581778134,---,---,-6.48122952765079,126.8746028642335
ENSG00000115607,11.2752794082635,147.34930042406157,---,---,9.55705409632815,133.10705847641648
ENSG00000185274,12.8618842717942,147.30233784138528,---,---,11.7339833243552,113.16697701319067
ENSG00000037280,7.39909549668454,145.63074765779007,---,---,7.11083753488437,134.4791005750953
ENSG00000117266,8.19488618977792,144.55872490677618,---,---,7.84881414287205,51.624979559269086
ENSG00000163293,6.95265865027359,144.37617279565995,---,---,7.63802860703483,77.1636457538401
ENSG00000006282,-11.2747991230469,143.43051345682878,---,---,-10.8028694319908,100.10383897813044
ENSG00000154319,-10.5055879751292,141.26948554168703,---,---,-7.93645125000363,70.0479431165117
ENSG00000111846,12.4323383743271,141.20479386021094,---,---,11.2766992596454,206.7060848865629
ENSG00000174948,11.8360854448358,140.1766321085188,---,---,12.0864970283185,122.01898719132285
ENSG00000015413,10.7214849318456,140.11492452196737,---,---,10.5442855537335,114.61999573960233
ENSG00000138435,11.4171455916595,139.85920194188338,---,---,11.0792572611926,106.51047071902666
ENSG00000211454,10.9281616558599,139.42949182601333,---,---,7.37332806328748,100.35789860190003
ENSG00000181649,-9.21151104194542,139.3845670662019,---,---,-9.90064805661546,73.19812764749535
ENSG00000122512,-12.5998370908213,138.9795166844554,---,---,-9.09913173916987,137.66892148291564
ENSG00000170381,5.84231335329351,138.90037028320953,---,---,5.1445116137322,39.8192124346511
ENSG00000189030,12.1062118198838,138.28753068169814,---,---,9.13632008366882,88.66790532785114
ENSG00000078549,11.3831088564052,138.279163275862,---,---,9.50807514502237,86.923832748378
ENSG00000179772,12.0889529571135,136.64086225648882,---,---,10.3001653732876,87.41466794865785
ENSG00000118596,-5.38757085730185,135.81815462341856,---,---,-5.19608632072566,30.36821640741125
ENSG00000151729,5.56628054881314,134.95358962442157,---,---,5.72567458162394,121.83982164230906
ENSG00000117448,3.14151200915361,134.27121708199383,---,---,3.18946826103013,46.241128569005014
ENSG00000069869,3.08610579241683,133.57277584035373,---,---,2.86490143666168,57.07562345989277
ENSG00000089220,-4.48155934568506,131.6916475024267,---,---,-4.29136155578523,78.4656252910332
ENSG00000125841,-12.6792407002607,131.66381259565046,---,---,-12.8590625719455,119.62133861667012
ENSG00000211584,4.34627330260648,130.27065189452333,---,---,4.44407605510031,124.7140132077323
ENSG00000079246,-4.13043172266347,130.1782074366103,---,---,-3.84434477545652,89.57272731505265
ENSG00000010322,3.7566877871416,129.354003928945,---,---,3.14697507944386,93.51226905755871
ENSG00000005108,10.5678985652796,127.5033730329217,---,---,9.08244044312661,68.23593380089102
ENSG00000122679,12.1866690135952,127.25286724353298,---,---,10.5455138480404,84.90097766209752
ENSG00000119125,9.13674162339829,126.4952029250254,---,---,8.59133848229767,56.14617475408833
ENSG00000110031,-10.1493290525784,125.43694244073355,---,---,-9.8857464333007,116.63485560725829
ENSG00000198722,-5.38703139465507,125.23522164079168,---,---,-5.33507927304718,78.12474295717047
ENSG00000196344,11.6038328900229,125.02477698427502,---,---,12.2638373437459,69.17128736435254
ENSG00000130829,8.06678802051494,124.76365727795255,---,---,8.97778756694525,78.67056958544734
ENSG00000102854,13.6914583972171,124.20124258842425,---,---,14.2907023071157,160.10482794278778
ENSG00000105852,10.8204130766617,123.9741994904098,---,---,9.67626227074384,99.75998294082771
ENSG00000011105,4.57346619096797,123.44256743939421,---,---,4.45283861573397,90.8660796984489
ENSG00000168675,9.26409984025065,123.36262956181022,---,---,3.77770540043403,40.98577406078031
ENSG00000166224,2.97878530377462,121.20789347696304,---,---,2.85345941410052,75.06076451425963
ENSG00000165025,10.9306193524258,120.75949849376703,---,---,7.94868255164806,75.81319266476828
ENSG00000189320,-10.4504495868047,119.33283107291636,---,---,-10.3645813176607,129.59196734363306
ENSG00000102038,-6.16179385233376,118.79089068234804,---,---,-6.51955782516984,65.35667416356836
ENSG00000224940,10.9992501686175,118.55203900229962,---,---,9.4927855986136,78.45173861756736
ENSG00000171227,7.41314735992101,118.17501094309705,---,---,8.06270737942993,56.119548613439065
ENSG00000258818,5.24781177566482,117.73054488922018,---,---,5.35280481759101,91.12199588601652
ENSG00000137460,6.08194790513276,117.25545654545648,---,---,4.71052444079989,53.22679623138447
ENSG00000070193,12.3581014549676,117.04954133821927,---,---,10.7503262763009,99.1259203551183
ENSG00000073464,4.73119647112047,115.89917845300917,---,---,4.9711010745551,89.92572722954333
ENSG00000152580,9.19070343479832,115.35735240590483,---,---,8.32529187635531,72.20358522678649
ENSG00000072135,-12.4854048420722,115.2969168245779,---,---,-7.25175845523802,59.02530088290387
ENSG00000109861,-6.48253359615101,114.78661909689231,---,---,-5.86245767268667,102.68588824800048
ENSG00000274290,8.3612909334474,114.10957731679567,---,---,6.26495839535482,40.122552039108314
ENSG00000253729,-4.37331537195082,113.96927211053668,---,---,-4.71186198918542,71.05010059079605
ENSG00000164038,-8.27616021554476,113.8244985725899,---,---,-8.36729864195119,100.20060267464812
ENSG00000133805,3.77638377921874,113.7638728163897,---,---,3.2262793704512,44.32434888369438
ENSG00000176597,-5.0778263898901,113.68615569288544,---,---,-4.07799640749707,43.756127318861964
ENSG00000135821,-3.51269659768935,112.071966927003,---,---,-3.1828008675521,48.419029430241096
