Gene	Homo sapiens FC	Homo sapiens P-value	Homo sapiens Q-value	Macaca mulatta FC	Macaca mulatta P-value	Macaca mulatta Q-value	Rattus norvegicus FC	Rattus norvegicus P-value	Rattus norvegicus Q-value	Mus musculus FC	Mus musculus P-value	Mus musculus Q-value
ENSG00000073150	-0.183853187	0.581808857	0.980568089	-0.348524029	0.299364655	0.616608931	-0.254945104	0.755498256	1	-1.361560582	0.518695869	1
ENSG00000119965	-0.010579173	0.95014653	1	0.383291104	0.03546577	0.136692915	0.187795079	0.421856633	1	0.029759165	0.898863188	1
ENSG00000109270	-0.078399694	0.623503682	1	0.01233831	0.936762267	1	-0.073131928	0.647299347	1	-0.009332468	0.958984932	1
ENSG00000134375	-0.382931682	0.002166912	0.023823937	-0.442195452	0.004620457	0.028396726	-0.485362018	0.008711506	0.11101455	-0.026137576	0.869449274	1
ENSG00000149262	-0.072273837	0.639736287	1	-0.213059925	0.25941741	0.569554326	-0.099999706	0.496689988	1	0.012647345	0.951653564	1
ENSG00000077152	0.013335052	0.965889192	1	0.224858129	0.180588501	0.443544932	0.184123666	0.509217821	1	0.137612984	0.781054467	1
ENSG00000121931	0.196411426	0.215164716	0.588767518	-0.028315589	0.843394643	1	-0.010780277	0.965565465	1	0.401660344	0.247006808	0.85405212
ENSG00000183077	-0.094574512	0.543686699	0.944599189	2.336224407	1.72E-10	8.62E-09	1.170265084	0.011497422	0.136637387	0.237506362	0.492089385	1
ENSG00000123560	-0.681673677	0.260443382	0.655784	-0.4540501	0.634313577	0.974416945	1.972295984	0.019043949	0.194577379	-0.491685625	0.433768697	1
ENSG00000163217	0	1	1	0	1	1	0	1	1	4.291320341	0.078456073	0.446772866
ENSG00000141002	0.206058631	0.112572614	0.394154191	-0.043291877	0.768577068	1	-0.172144923	0.334495237	1	-0.04495699	0.760628825	1
ENSG00000134255	-0.289685505	0.039785305	0.200319466	-0.481083994	0.002772107	0.019008234	-0.155756444	0.447337883	1	0.217186158	0.29892796	0.91753356
ENSG00000109111	0.100486462	0.438289851	0.862742196	-0.087575229	0.497260903	0.857055945	-0.094446809	0.611740698	1	0.093712504	0.644903881	1
ENSG00000163682	-0.123488934	0.404920212	0.831794185	0.080213826	0.949134747	1	0	1	1	0	1	1
ENSG00000145808	1.014237395	0.648456787	1	-0.349133864	0.899664781	1	1.908383416	1	1	-1.957289518	1	1
ENSG00000162777	-0.237795302	0.45214105	0.876262342	-0.151311552	0.625155257	0.966278926	3.591226258	8.60E-05	0.002520115	0.569970021	0.486194948	1
ENSG00000204256	0.948228359	2.07E-11	1.79E-09	1.357177373	6.78E-19	1.04E-16	0.661682335	0.000236312	0.00604047	0.856877602	1.26E-07	5.67E-06
ENSG00000133055	-1.058147512	0.34446643	0.757362437	-2.089416373	0.035843995	0.137707329	-3.527582154	0.159371918	0.716534308	1.23126995	0.265191915	0.88427539
ENSG00000163485	-1.462825732	0.012949317	0.091937815	-0.785670899	0.072456519	0.232873074	0.413399464	0.845290683	1	4.712530092	0.024640557	0.206851489
ENSG00000122180	0	1	1	0.535354795	0.308994111	0.63024322	0	1	1	0.717963198	0.507234787	1
ENSG00000113396	-1.163820425	0.648456787	1	1.375205344	1	1	-0.252982568	0.747952772	1	-0.583406798	0.398028703	1
ENSG00000137409	-0.320236783	0.010913374	0.08129123	-0.505319852	0.002617472	0.018149829	-0.368642514	0.045031806	0.345686732	-0.247070159	0.22280356	0.81041176
ENSG00000047188	0.069057488	0.671983207	1	-0.34998347	0.075271399	0.239917991	0.205349885	0.29608226	0.955111112	-0.125282177	0.61454094	1
ENSG00000089057	0.020390624	0.856138091	1	-0.067422827	0.639385367	0.979135671	0.099688038	0.577447121	1	0.737124387	0.009775276	0.104091156
ENSG00000225190	0.086556224	0.761084915	1	0.162971097	0.286660103	0.599440844	-0.032051803	0.877273259	1	-0.031571017	0.862930876	1
ENSG00000171444	0.188565583	0.574834159	0.974373123	0.17908681	0.529190716	0.870034109	-0.168341622	0.452338667	1	0.721215171	0.018095325	0.165773583
ENSG00000171867	-0.37269755	0.022875253	0.136036291	-0.713324732	0.000217262	0.002364665	-0.431699408	0.020568597	0.20451624	-0.280349561	0.253834859	0.868013173
ENSG00000143847	0.924593923	0.260244064	0.655760228	0.397625732	0.577787668	0.918093369	0.85882514	0.268056617	0.934201461	1.396447444	0.253671083	0.867725651
ENSG00000163444	-0.26232429	0.044683191	0.215324764	-0.275904495	0.133930482	0.360782762	-0.212213774	0.255691048	0.916838042	-0.070699656	0.742097655	1
ENSG00000116857	-0.384785071	0.03842225	0.195909724	-0.458548802	0.099243796	0.291197929	-0.208392799	0.242919418	0.891472906	-0.275309613	0.258318957	0.874693454
ENSG00000092964	-0.236056755	0.157319125	0.484524214	-0.658058823	0.001043144	0.008641588	-0.50463647	0.128280011	0.643018265	-0.918052879	0.048019173	0.323335039
ENSG00000167182	0.38260588	0.035653195	0.185585004	0.093109377	0.594172212	0.934968485	0.668470678	0.000175991	0.00466217	0.167773353	0.463214394	1
ENSG00000129595	1.096745711	0.084222848	0.326786971	0.208306219	0.754229525	1	0.203153234	0.826493583	1	-0.156716922	0.588584508	1
ENSG00000221914	-0.033637122	0.783526567	1	-0.048140201	0.68271479	1	0.028527735	0.864470745	1	0.150173568	0.3154022	0.945257626
ENSG00000164211	0.113219559	0.6399553	1	-0.811514426	0.024948717	0.105239289	-0.486795255	0.139137095	0.6749925	-0.731821566	0.031781758	0.246204038
ENSG00000221818	-0.040698121	0.961252105	1	-0.520152079	0.099374047	0.291302751	0.547979679	0.02346316	0.226096724	-0.040982467	0.931304122	1
ENSG00000152495	-0.42839848	0.189121688	0.544190958	-0.489161767	0.475015224	0.833227225	0.831201808	1	1	-0.020853945	1	1
ENSG00000134987	-0.331663204	0.014934652	0.101568006	-0.172794517	0.318945723	0.64187864	-0.135224796	0.406634886	1	-0.106668094	0.53186356	1
ENSG00000007312	-0.2124535	0.858585761	1	0	1	1	1.934873372	1	1	3.426633702	0.281339077	0.890470891
ENSG00000164209	-0.442573319	0.00402818	0.03802741	-0.840765422	4.43E-06	8.75E-05	-0.179124126	0.242428014	0.890314945	-0.270592091	0.231945393	0.827952064
ENSG00000112893	-0.613114207	3.85E-05	0.000858521	-0.799182896	0.00341707	0.022418807	-0.591586618	0.003602819	0.056892779	-0.374858932	0.041474783	0.294571061
ENSG00000125818	-0.124595702	0.343832377	0.756723134	-0.361059639	0.011311715	0.057302216	0.03051509	0.847678477	1	0.244568164	0.20283258	0.767486057
ENSG00000151422	-0.129931019	0.33661521	0.746465801	-0.440835939	0.044677228	0.162553071	-0.16982929	0.292530749	0.949127367	-0.078901577	0.692961869	1
ENSG00000104756	-0.277880639	0.012853484	0.091356182	-0.507538046	0.001908015	0.014090965	0.086324191	0.570018783	1	-0.210428048	0.343737816	0.985044758
ENSG00000145743	-0.534106335	0.000350286	0.005536673	-0.686073216	0.000172892	0.001954729	-0.385882084	0.029363634	0.263657444	-0.250892532	0.162401126	0.679432646
ENSG00000147437	2.820494332	4.70E-08	2.21E-06	1.120144653	0.075525186	0.240263873	1.845773037	0.519276061	1	1.541567894	0.424268385	1
ENSG00000184349	-0.234698584	0.261179267	0.656597412	-0.282770011	0.342949265	0.674271011	-0.434361899	0.453056932	1	0.177789524	0.509517383	1
ENSG00000182742	0.364653347	0.088296112	0.336923817	1.046132462	0.000111197	0.001355985	0.059851818	0.852963612	1	0.291199348	0.355098739	1
ENSG00000163395	2.22573724	0.51639458	0.919476369	1.327077468	0.178555856	0.439955103	0	1	1	1.780360215	1	1
ENSG00000100731	-0.094852416	0.419466149	0.844590912	-0.395701435	0.007289388	0.04056932	0.028232167	0.888803173	1	-0.105770398	0.568421812	1
ENSG00000081277	-0.440316822	0.394310964	0.820401645	0.07349257	0.913354687	1	0.23300776	0.357800699	1	-0.560784552	0.582874535	1
ENSG00000147459	-0.095716476	0.654087223	1	-0.542210019	0.002430509	0.017145497	0.053854522	0.812893275	1	-0.374283349	0.031634587	0.245413166
ENSG00000277586	0.342354577	0.538385562	0.939694574	3.01781973	0.002510197	0.017581161	0.440475369	1	1	0.095821334	0.851268374	1
ENSG00000159176	-0.245481402	0.251119634	0.644141819	-0.274234646	0.377072688	0.719650714	-0.047988036	0.830697153	1	0.480456158	0.013071064	0.130387305
ENSG00000168710	-0.226015835	0.041929797	0.207534126	-0.504795524	0.000147186	0.001697003	-0.056488982	0.727490008	1	-0.273044645	0.085474546	0.470876716
